TransactionID,VendorName,Category,CostCentre,Amount,ContractRate,Date,Currency
AP-10000,Microsoft,IT Services,CC-101 Finance,38472.36,33774.21,2024-11-04,INR
AP-10001,Workday,Software Licenses,CC-106 Legal,12306.03,15044.48,2024-04-22,USD
AP-10002,Adobe Systems,Hardware,CC-101 Finance,25320.56,38141.2,2024-08-04,USD
AP-10003,Tata Consultancy,Cloud,CC-102 Operations,12765.3,17376.32,2024-02-17,USD
AP-10004,Wipro Limited,Facilities,CC-105 Marketing,21887.04,35451.48,2024-08-23,EUR
AP-10005,WIPRO,Consulting,CC-105 Marketing,5215.58,6125.48,2024-07-04,EUR
AP-10006,KPMG,Consulting,CC-101 Finance,5569.45,6125.48,2024-02-10,INR
AP-10007,WIPRO,Hardware,CC-104 HR,28450.77,38141.2,2024-07-08,USD
AP-10008,KPMG,Hardware,CC-106 Legal,32771.46,38141.2,2024-11-07,EUR
AP-10009,AWS,Cloud,CC-104 HR,17303.5,17376.32,2024-11-23,EUR
AP-10010,Workday,Software Licenses,CC-106 Legal,13650.24,15044.48,2024-01-29,INR
AP-10011,Deloitte & Co,Marketing,CC-103 IT,61873.92,45148.08,2024-10-17,EUR
AP-10012,HCL Technologies,Software Licenses,CC-106 Legal,14350.53,15044.48,2024-11-25,USD
AP-10013,Oracle,Cloud,CC-102 Operations,14171.97,17376.32,2024-10-26,USD
AP-10014,Adobe Systems,Marketing,CC-103 IT,45103.61,45148.08,2024-09-17,USD
AP-10015,IBM,Consulting,CC-102 Operations,5616.03,6125.48,2024-08-04,EUR
AP-10016,IBM Ltd,Marketing,CC-105 Marketing,36644.25,45148.08,2024-10-10,INR
AP-10017,Wipro Limited,Facilities,CC-101 Finance,23513.66,35451.48,2024-01-02,EUR
AP-10018,Tata Consultancy,Cloud,CC-105 Marketing,16476.36,17376.32,2024-06-01,EUR
AP-10019,ServiceNow,Software Licenses,CC-102 Operations,9998.86,15044.48,2024-09-28,INR
AP-10020,Cisco Systems,Facilities,CC-104 HR,48777.46,35451.48,2024-06-06,INR
AP-10021,Deloitte,Consulting,CC-101 Finance,5674.7,6125.48,2024-09-29,INR
AP-10022,ORACLE CORP,Cloud,CC-103 IT,14641.94,17376.32,2024-04-18,EUR
AP-10023,KPMG,Hardware,CC-104 HR,32799.57,38141.2,2024-08-12,EUR
AP-10024,Google Cloud,Consulting,CC-102 Operations,4503.66,6125.48,2024-10-28,EUR
AP-10025,McKinsey & Co,Software Licenses,CC-101 Finance,19175.32,15044.48,2024-04-27,INR
AP-10026,Deloitte & Co,Consulting,CC-105 Marketing,5314.41,6125.48,2024-04-19,EUR
AP-10027,ORACLE CORP,Software Licenses,CC-104 HR,10172.54,15044.48,2024-02-19,EUR
AP-10028,Microsoft,Facilities,CC-104 HR,33520.6,35451.48,2024-01-28,EUR
AP-10029,Wipro,Marketing,CC-106 Legal,42649.99,45148.08,2024-05-07,INR
AP-10030,KPMG,Legal,CC-102 Operations,6340.34,8912.25,2024-05-07,INR
AP-10031,Google Cloud,Consulting,CC-101 Finance,4999.83,6125.48,2024-01-08,INR
AP-10032,McKinsey & Co,Cloud,CC-104 HR,11911.45,17376.32,2024-07-24,INR
AP-10033,Amazon Web Svc,IT Services,CC-104 HR,30857.07,33774.21,2024-08-20,USD
AP-10034,Microsoft,Legal,CC-102 Operations,6123.43,8912.25,2024-01-30,EUR
AP-10035,Workday,IT Services,CC-106 Legal,20941.93,33774.21,2024-09-01,EUR
AP-10036,ServiceNow,Cloud,CC-101 Finance,10982.61,17376.32,2024-04-05,INR
